大创,,,,,,,,,,,,
项目编号,项目名称,项目类型,所属学校,项目期限,所属一级学科,所属二级学科,项目级别,,,,
202210289176T,“E-learn·乐知”英语学习App,创业训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,文学,外国语言文学类,省级
202210289001Z,“双减”进行时——体育公共服务对于我国青少年健康意识与行为的改善状况与影响因素研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,管理学,公共管理类,国家级
202210289073Y,“网红变网黑”：基于TAM模型的网红个人负面信息对消费者购买再次意愿的影响及对策研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,管理学,管理科学与工程类,省级
202210289074Y,“乡村振兴”视野下镇江第一批传统村落建档研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,建筑类,省级
202210289186K,accompany乐诊——陪诊服务管理平台,创业实践项目,江苏科技大学,一年期 （2022-06 至 2023-06）,管理学,工商管理类,国家级
202210289002Z,Bmcas-1体外抵抗Bmnpv感染分子机制,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,农学,动物生产类,国家级
202210289003Z,CsPbX3钙钛矿量子点及其LED器件制备,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,理学,物理学类,国家级
202210289075Y,Ising-Heisenberg自旋链中有限温度下量子Fisher量子信息与量子临界特性的关联研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,理学,物理学类,省级
202210289076Y,LNG动力船冷能和余热的回收利用与碳捕集一体化研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,能源动力类,省级
202210289077Y,MoS2基压电传感器材料的制备及性能研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,能源动力类,省级
202210289004Z,N-EWG吲哚化合物的2 or 3-位功能化研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,化工与制药类,国家级
202210289005Z,Pr-Cu合金晶界扩散对Nd-Y-Fe-B磁体微观组织和磁性能的影响,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,材料类,国家级
202210289006Z,ZnIn2S4/FeS2复合光催化剂的制备及光热协同光催化分解水产氢性能研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,环境科学与工程类,国家级
