学号	总评成绩
4714345	80.2
7877923	70.6
8204531	70.4
7492190	47.2
7992272	58.6
9892886	68.6
8857930	56.2
5324531	70.8
8718489	52.6
6689418	69.8
6272887	73.4
2859297	70.4
6647385	54.6
7145067	54.0
8603341	62.2
9865810	67.0
1057217	62.2
3234210	63.4
5847215	40.6
6995415	62.6
8340737	64.8
9520854	82.2
9353848	44.0
3535492	38.0
9134838	73.6
5922820	59.2
5677682	77.4
4477945	61.0
3259305	48.6
1816416	50.8
5767966	75.8
2830093	64.6
6615041	52.6
9351928	44.8
5643162	53.0
9950461	44.0
4935829	59.8
4612354	56.2
8638006	61.0
1636365	59.4
2344624	75.0
9001665	75.8
6621291	48.4
5954907	69.2
4632041	63.2
1393701	38.4
4113736	49.2
3610031	49.6
3357209	69.0
3293362	68.2
